	Line 13047: [2022/08/16-14:40:32::066]	[GPIB] Send : SOURCe:GPRF:GEN:STAT OFF;*OPC? 
	Line 13049: [2022/08/16-14:40:32::066]	[GPIB] Recv : 1 
	Line 13051: [2022/08/16-14:40:32::066]	[GPIB] Send : SOURce:GPRF:GEN:LIST OFF 
	Line 13053: [2022/08/16-14:40:32::067]	[GPIB] Send : SOURce:GPRF:GEN:BBMode ARB 
	Line 13055: [2022/08/16-14:40:32::067]	[GPIB] Send : SOURce:GPRF:GEN:ARB:FILE '@WAVEFORM\WLAN_11ac_VHT_BW20_MCS0_LEN4096.wv' 
	Line 13057: [2022/08/16-14:40:32::067]	[GPIB] Send : SOURce:GPRF:GEN:ARB:FILE? 
	Line 13059: [2022/08/16-14:40:32::069]	[GPIB] Recv : "/home/instrument/fw/data/waveform/WLAN_11ac_VHT_BW20_MCS0_LEN4096.wv" 
	Line 13061: [2022/08/16-14:40:32::069]	[GPIB] Send : SOURce:GPRF:GEN:ARB:FILE:DATE? 
	Line 13063: [2022/08/16-14:40:32::069]	[GPIB] Recv : "2018-10-15;15:15:24" 
	Line 13065: [2022/08/16-14:40:32::069]	[GPIB] Send : SOURce:GPRF:GEN:ARB:FILE:VERSion? 
	Line 13067: [2022/08/16-14:40:32::070]	[GPIB] Recv : "4.0" 
	Line 13069: [2022/08/16-14:40:32::070]	[GPIB] Send : SOURce:GPRF:GEN:ARB:REPetition SINGle 
	Line 13071: [2022/08/16-14:40:32::070]	[GPIB] Send : SOURce:GPRF:GEN:ARB:CYCLes 1000 
	Line 13073: [2022/08/16-14:40:32::070]	[GPIB] Send : TRIG:GPRF:GEN:ARB:MAN:EXEC 
	Line 13075: [2022/08/16-14:40:32::071]	[GPIB] Send : SOURCe:GPRF:GEN:STAT ON;*OPC? 
	Line 13077: [2022/08/16-14:40:32::091]	[GPIB] Recv : 1 
	Line 13079: [2022/08/16-14:40:32::091]	[GPIB] Send : SOURce:GPRF:GEN:ARB:SCOunt? 
