SN,版本,MAC,时间,结果,通知治具开始测量静态电流（CC）,等待治具数据长包-机号,等待治具数据长包-静态电流(uA),等待治具数据长包-工作电流(mA),等待治具数据长包-充电电流(mA),等待治具数据长包-泵电压(mV),等待治具数据长包-MCU电压(mV),等待治具数据长包-阀电压(mV),MES启动,扫描连接蓝牙,M8 LED全开,M8读取版本号,M8获取电量信息,M8查询电池温度,M8开启按键上报,M8检查模式切换,M8检查减挡位,M8检查加挡位,通知治具准备开始测试（AA）,M8吸力测试开,通知治具开始测量工作电流（EE）,等待治具工作电流测量完成,M8吸力测试关,M8关机
M800DCC400000ECE1LMB66G00365,自由测试工站   V1.1.14,DC:C4:00:00:0E:CE,2026-06-18 21:41:22,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=331 允许[250500](通过),当前值=1165 允许[9001200](通过),当前值=3960 允许[38004500](通过),当前值=3305 允许[32503400](通过),当前值=4834 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000EDE1LMB66G00364,自由测试工站   V1.1.14,DC:C4:00:00:0E:DE,2026-06-18 19:41:20,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=374 允许[250500](通过),当前值=1122 允许[9001200](通过),当前值=4036 允许[38004500](通过),当前值=3320 允许[32503400](通过),当前值=4889 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000EEE1LMB66G00363,自由测试工站   V1.1.14,DC:C4:00:00:0E:EE,2026-06-18 19:44:15,FAIL,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=381 允许[250500](通过),当前值=966 允许[9001200](通过),当前值=4034 允许[38004500](通过),当前值=3313 允许[32503400](通过),当前值=4863 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),55(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000EFE1LMB66G00362,自由测试工站   V1.1.14,DC:C4:00:00:0E:FE,2026-06-18 19:42:19,PASS,1(通过),当前值=1 允许[012](通过),当前值=14 允许[1030](通过),当前值=285 允许[250500](通过),当前值=1121 允许[9001200](通过),当前值=4043 允许[38004500](通过),当前值=3317 允许[32503400](通过),当前值=4877 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),69(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000F0F1LMB66G00361,自由测试工站   V1.1.14,DC:C4:00:00:0F:0F,2026-06-18 20:21:48,FAIL,1(通过),当前值=1 允许[012](通过),当前值=14 允许[1030](通过),当前值=378 允许[250500](通过),当前值=1044 允许[9001200](通过),当前值=4036 允许[38004500](通过),当前值=3313 允许[32503400](通过),当前值=4849 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),54(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000F2F1LMB66G00359,自由测试工站   V1.1.14,DC:C4:00:00:0F:2F,2026-06-18 19:43:23,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=369 允许[250500](通过),当前值=1181 允许[9001200](通过),当前值=4028 允许[38004500](通过),当前值=3330 允许[32503400](通过),当前值=4863 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000F3F1LMB66G00358,自由测试工站   V1.1.14,DC:C4:00:00:0F:3F,2026-06-18 19:40:31,PASS,1(通过),当前值=1 允许[012](通过),当前值=16 允许[1030](通过),当前值=387 允许[250500](通过),当前值=1080 允许[9001200](通过),当前值=4030 允许[38004500](通过),当前值=3315 允许[32503400](通过),当前值=4869 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),59(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000F4F1LMB66G00357,自由测试工站   V1.1.14,DC:C4:00:00:0F:4F,2026-06-18 20:06:23,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=374 允许[250500](通过),当前值=1037 允许[9001200](通过),当前值=4035 允许[38004500](通过),当前值=3315 允许[32503400](通过),当前值=4875 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),52(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000F5F1LMB66G00356,自由测试工站   V1.1.14,DC:C4:00:00:0F:5F,2026-06-18 20:15:58,PASS,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=370 允许[250500](通过),当前值=1196 允许[9001200](通过),当前值=4015 允许[38004500](通过),当前值=3317 允许[32503400](通过),当前值=4854 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),40(通过),24(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
M800DCC400000F7F1LMB66G00354,自由测试工站   V1.1.14,DC:C4:00:00:0F:7F,2026-06-18 20:09:17,FAIL,1(通过),当前值=1 允许[012](通过),当前值=15 允许[1030](通过),当前值=387 允许[250500](通过),当前值=1196 允许[9001200](通过),当前值=3972 允许[38004500](通过),当前值=3320 允许[32503400](通过),当前值=4838 允许[48005100](通过),0(通过),已连接(通过),已确认(通过),2.13(通过),69(通过),23(通过),1(通过),按键ID:3 期望:3(通过),按键ID:2 期望:2(通过),按键ID:1 期望:1(通过),1(通过),1(通过),1(通过),工作电流测量完成 机号=1(通过),1(通过),ok(通过)
